Size,DFS,Astar (h2),Astar (h3)
3,0.003,0.009,0.0
4,0.0,0.001,0.0
5,0.0,0.001,0.001
6,0.0,0.001,0.001
7,0.001,0.001,0.001
8,0.001,0.001,0.0
9,0.001,0.002,0.073
10,0.003,0.002,0.0
11,0.011,0.003,0.0
12,0.007,0.001,0.001
13,0.0,0.003,0.001
14,0.08,0.007,0.001
15,0.001,0.006,0.002
16,0.06,0.013,0.0
17,0.107,0.008,0.0
18,0.0,0.022,0.0
19,0.005,0.068,0.001
20,0.592,0.01,0.0
21,0.0,0.203,0.001
22,0.005,0.036,0.0
23,0.013,0.246,0.001
24,4.725,0.04,0.0
